date,size
01/03/2018,679.8310851
01/04/2018,682.3343868
01/05/2018,684.8469062
01/06/2018,687.3686772
01/07/2018,689.8997341
01/08/2018,692.4401109
01/09/2018,694.989842
01/10/2018,697.5489618
01/11/2018,700.117505
01/12/2018,702.6955061
01/01/2019,705.283
01/02/2019,707.7356257
01/03/2019,710.1967804
01/04/2019,712.6664938
01/05/2019,715.1447956
01/06/2019,717.6317157
01/07/2019,720.1272841
01/08/2019,722.6315309
01/09/2019,725.1444862
01/10/2019,727.6661803
01/11/2019,730.1966437
01/12/2019,732.7359067
01/01/2020,735.284
01/02/2020,737.1640635
01/03/2020,739.0489341
01/04/2020,740.9386242
01/05/2020,742.8331461
01/06/2020,744.7325122
01/07/2020,746.6367347
01/08/2020,748.5458262
01/09/2020,750.4597992
01/10/2020,752.3786659
01/11/2020,754.3024391
01/12/2020,756.2311313
